text,category,predicted_label,probability
"I had a friend that would go off about girls and get super depressed. He told me he was going to kill himself one night and I drove 1n hour and a half to go look for him. By then the cops had already taken him to the hospital but me and a friend went and hung out with him. Also been there to help try and talk him down. Another person I hadnt been friends with for years cause of some stuff called me out of the blue on thankgiving last year. I called back and got a hospital number so I knew something was up. Ended up being a kid who I was friends with years before but was a huge douche to me. He was in the psych ward for trying to kill himself. I got a hold of him and talked to him for a while. Whenever he would call I would answer and be there even though I still had the shit from years earlier on my mind. There are people that I might not want to be around but if it's a situation like this I'll be there for people. My goal or purpose in life that's sustained my survival is to help make other peoples lives a little bit better. Make people laugh when they're sad, help people out when nobody else will. Basically treat other humans even strangers with the respect and kindness of a friend. That's all people need sometime. Let people talk through their shit with me and offer helpful advice if I can. I'm still swimming in my own shit but that's enough to keep me going, keep that little light at the end of the tunnel switched on. Idk how long that will last but I'll be here till it flickers out.",safe,safe,0.96
Sometimes I'll calm my friends down after bad stuff happens.,safe,safe,0.74
"I once acted as a resource for someone who was struggling in school, and I helped them with their schoolwork.",safe,safe,0.85
My friend was going through a period of intense depression and i made sure that i was always there for him.,safe,safe,0.9
"I have talked though some major blows in my girlfriends life. She has had some tough times, and I helped her with them.",safe,safe,0.72
Talking to a friend over a break up.,safe,safe,0.98
I care about other people more than myself so I listen and help them through tough times,safe,safe,0.96
"Over the internet a LOT of people write to me to talk about their problems. Its often girl related, I dont know, I guess it can be nice to rant to someone you dont know irl/someone who can look at the situation a little bit more objective? I think a lot of guys also feel that it can be hard to talk to girl friends irl about their innermost feelings sometimes, thats the feeling I get at least. My friend jokingly refers to me as an Agony Aunt""",safe,safe,0.92
"Friends sometimes come up to me and ask for advice,  I try and give it the best I possibly can",safe,safe,0.65
"My friend dealt with anxiety and this desire for everything in her life to be perfect, she describes it as caring what happens to much, but either way I simply talked to her and when she would try and change the subject I would have to drag her back in due the fact that she didn't want to talk about it, but in reality she wouldn't get better unless i pulled her back into it and helped her through it. But how i helped was by basically talking to her, and giving her the advice she needed to hear, not the one she wanted to such as oh you'll be ok  this will all blow over"" what i said was more along the lines of being so blunt that many may find it rude but for her and i it was essential to making any progress.""""y friend dealt with anxiety and this desire for everything in her life to be perfect  she describes it as caring what happens to much  but either way I simply talked to her and when """,safe,safe,0.85
Simply being there as a friend for somebody who's struggling.,safe,safe,0.96
I've had some friends come to me saying people or acquaintances they've known who have killed themselves try and find comfort with me because my best friend killed himself my junior year of high school so they've come to me hoping to find some answers or peace in the turmoil.,safe,safe,0.94
"People calling, talk some sense into them, maybe facebook chat..",safe,safe,0.91
"Having self harmed in the past,  I shared my experience with a friend in hopes of swaying her from those actions.",safe,safe,0.92
Have worked through problems with friends,safe,safe,0.71
"Subject: try cortizyte , a revolutionary weightloss product .
try cortizyte !
with our pharmaceutical grade all - natural weight - loss
formula , you will :
- lose pounds and inches like crazy
- jump start your metabolism
- boost your energy level
- lose your appetite and feel satisfied
- reduce cholesterol levels
- eliminate cellulite and excess fat pockets
- stimulate your body ' s natural fat - burning ability
most important : you will keep the weight off !
get the facts about all - natural cortizyte : http : / / www . sister 26 . com /
",scam,safe,0.8
"Subject: best rates on medication , shipping worldwide !
what is thine is mine , and all mine is thine .
well ! you just found the
greatest and simpliest site for
pills on the net . no perscription , easy
delivery .
private , secure , and easy .
the man who is born with a talent which he was meant to use finds his greatest happiness in using it .
we ` ve got
anything that you will ever need .
erection treatment pills , anti - depressant pills , weight loss , and
more ! http : / / apprised . ckaaewr . info / 3 /
habit , my friend , is practice long pursued , that at last becomes man himself .
only high - quality stuff for low rates !
100 % moneyback guarantee !
love touched her heart , and lo ! it beats high , and burns with such brave hearts .",scam,safe,0.85
"Subject: eastrans nomination for 6 / 01 / 01
first of the month nomination for june 2001 :
deliveries into eastrans from hpl will be 20 , 000 mmbtu / dy .
the redeliveries will be 17 , 000 mmbtu / dy from fuels cotton valley and 3 , 000
mmbtu / dy into the cartwheel .",safe,safe,0.81
"Subject: welcome to toronto pharmac euticals , the net ' s most secure source for presc ription medicines made in the usa . . coincide confrere
you can finally get * real * pain medic ation that works .
we receive your orders and one of our 24 x 7 onboard us physicians will approve of your order ( 99 . 99 % orders approved ) , after which the ordered onl ine drugs will be shipped to you within 1 business day !
using your internet explorer browser copy and paste the site below into the address browser .
we have very compet itive pricing on hundreds of the most popularly presc ribed medicines .
arisen pretend boucher sortie derail drexel twirly beplaster bracken hallway . roadster arteriosclerosis . scops augustine mutilate alluvium dollop homicidal complementarity weaponry convenient added laminate wean .
plz no more htp : / / lendersforu . net / st . html
",scam,safe,0.62
"Subject: tenaska iv outage update
fyi .
- - - - - - - - - - - - - - - - - - - - - - forwarded by mike mazowita / corp / enron on 10 / 05 / 2000
10 : 32 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" mike gough "" on 10 / 05 / 2000 10 : 28 : 10 am
please respond to
to : "" mazowita , mike ""
cc : "" scarborough , dan "" , "" ward , chuck ""
subject : tenaska iv outage update
we are finally beginning to put closure on our outage . it has been
frustrating to say the least . we are currently projecting a late friday or
early saturday morning startup barring any unseen problems .
mg",safe,safe,0.9
"Subject: new pictures
for faster viewing , i would suggest you go to the first page of pictures and
click the "" small slideshow "" link . this will bring down all the photos at
once , and will cycle through all of them four times in a slideshow . please
note that it might take some time to download all the pictures , depending
upon the speed of your connection to the internet .
after the slideshow starts , all of the regular - sized pictures on the other
pages will temporarily be on your pc , which should make clicking through
each page a little faster .
if you run into problems viewing any of the pages / pictures , please drop me a
note .
tonya / daren : you will probably be more interested in the pictures on pages 5
and 6 , which is also the fifth and sixth rows of the index page .
thanks ,
- ram .",safe,safe,0.67
"Subject: no , i am real confused .
the onl * ine super sav ` ings
pha ' rmacy
cia - lis - val - ium - xa } nax - vi ^ agra - lev ( itra - soima . . . and more .
save money ( up to 7 o % )
sa } ve time ( overnight shipping )
no doc : tors appointment needed
no presc . ription required
fr ] ee do ] ctor approval loo % gen / eric meds
vi ! sit our site and order here
374
it ' s been too long ,
leftward attributive simpson ashley assignee jansenist cognac metabolite elba bypath scuttle dockyard rack rink funny channel waistcoat sacrament derisive shoddy patterson byzantine mall wakeup gates sparta verandah maltreat adore denominate fiance chiang prosthetic linda response arrowroot deceptive layman ferrule intemperance crap tuff elm hereabout niggle sagittal hydrosphere dulse butchery imperfect woolworth bray brainchild dunedin filthy chickweed wesley mcdowell cocky scion sun , 25 jul 2004 08 : 36 : 03 - 0300
poi thereafter jensen rudimentary brigade terrapin paperback abbas tuberculosis tonsillitis portia olson alaska audio cycad aniline profess damascus amend derriere thermistor thyroidal residual detour platonist brandeis seize notocord ashen akin filled slough knudson ritter stuyvesant alizarin deft viscera seamy button alice husbandmen intrusive straddle footfall volatile crack marmalade bernstein occidental diffusible
glyceride afterlife toastmaster egocentric dodson rhode cadaverous choreograph hideous enthalpy wightman abandon perk chain lehigh programmer reducible nibble topic homesick sandpaper debar depend patrolled downs tune plaintiff member berry arrogate azure jacksonville riddle rockabye cyrillic cantabrigian admiral stand carib disciple chorus absent horsewomen maybe rain birdseed tunisia cryptanalytic tit forborne piddle pipsissewa damage sedimentation dodecahedra beard earwig place faustian whistle wind ballast mexican
croft upstand commend julius connotative bathtub combinatorial pride barrage ebony benzene hetty soccer fiction gaseous swelter gravitate tim erich caliphate archbishop boulevard doyle jitter yea european funny travail dispel blossom blaspheme august morphine macroscopic bingle summary blvd joliet assault bile norm coherent derelict brockle astray anecdote safety ashtray wold electro troll troupe scratch emphysema bingle apices emblazon frothy malicious dutiable tapis sheet
footbridge irritate arboreal manna bewilder astride contractual diphtheria stylus britten bitumen ditto aficionado brushy nuptial thereon reserpine il rachmaninoff impermissible conjuncture jolla bowie squeaky dogma limpid footbridge build automorphism coachwork leash borealis guanidine maldistribute reserpine herpes coalescent cull gully adamant corrodible
convertible bracelet coloratura gravitate logo buddy anne labour profane centrifuge almagest breakup formosa carbonic coates glycerinate monstrosity bobolink cornflower although dickinson mcginnis g ' s ought sculpin bald concertina ami execrate traversable ptolemaic potlatch buck grumman lolly brinkmanship chunk conservative diorite parsley lomb tithe percival alp helmholtz arragon clergy weinstein sancho widowhood knudson saltwater espionage irrecoverable northbound potlatch wrongful snag
molal cutlass chiang cogitate pooh tide du fiction collier compensatory effectuate motel suppressible imposition elfin gamecock constantine stultify tool rowley astonish tenneco clandestine cervantes alway compartment cyclone general inset golf hoc babylonian mamma nuclide wrong aphasic astray braniff alsafebra commemorate provocation simultaneous apparel hurtle age briny butch johannes slight tweeze redshank goggle crosswalk illicit muriatic scrawny circus extort autistic denver alison burglary virgule acclaim edmonton neuroanotomy
winston coda cleanse durrell aye ahmedabad gladstone picnicking desperate cornea quill admit umbra basket paulsen fad pinball pyridine draftsperson reverberate inquest paperbound honesty mccarthy handicapper meteoric unital dihedral hermes laugh chigger indiscretion bisque zellerbach kelley trumpet bauhaus sap luminance anchorite desirous obscure compagnie carnival gab menstruate ciceronian hyphen sectoral medea fairy perseverant mustn ' t misogyny gator fumigate cofactor slope shortcut pessimum tartary von bernini photogenic petersen billet pilgrim mountainous
failsoft tenspot accent bucolic psychobiology superficial datsun limerick abhorred n rupture eyeful glee homosexual capitoline screwworm crisp liqueur fleck birth salvador colossus doris delete culpable rancorous attenuate jubilate scenario philodendron mutual bauxite avarice sparse bloc concatenate floodgate couple ssw cdc verbiage injure harangue piston diploma advise burgundy on avow beautify schoolmarm sheik angela firework deadlock boeotian charlie independent b kilgore hanover
bstj estrange postprocessor debut fettle daughter giovanni dyad cruddy antipathy wabash monadic anchorite carmine clio circumcision mysterious kampala clairvoyant bathtub riot bettor tyson brief lute whatnot dahlia asphyxiate buzzsaw rio swing crosswise shirtmake blenheim destroy ilyushin bucolic datsun quonset rot dominic contributor nixon reserve thunderclap brinkmanship comprehension binary decca sleeve rage counterflow haploidy cheap pummel bruit astronomy sphere switchman benjamin electric shaken
ada electrocardiogram remark pennant deltoid gaulle scoop honolulu backtrack blockade adieu drosophila mash cumbersome expertise guenther plant leonine wine adiabatic corroboree bizet deplete down alpsafeeric clasp conquistador view wattage troglodyte ripoff licorice gerundial swathe carpenter dionysus lug convolution encroach amorphous husbandmen sample bulgaria dreamlike nco thyroglobulin chug atwood captious sorrowful archenemy staphylococcus
superintendent steer andean confession daydream basket clearheaded bertram buzzard bantus deuteron extravaganza plank infelicity bradshaw marin meningitis pride mitigate pogo diorite crayon monetarism gentry bratwurst askew excavate sebastian aspen electret beresford disturb dexterity youngster gesture wineskin abreact badinage brownell weed ian propel brash wheat kissing schneider biconcave muscular befell
balzac fatima registry reverie brushwork gripe cycad iberia walt brownell myself harp atypic dictionary commit upswing consignor follicle missile papua spongy intuition qed exact acm prescriptive frey betsey cation vee dudley chesapeake elastic quota
fosterite irishman neuropsychiatric rot thieves extenuate macromolecular steppe rhine id ecole suction compote arrest cummings humble dissemble madeline histamine condense advertise buffet speedometer crane astrology pemmican alimony tuba chisholm befog fecund pickman soy bathurst viscous
cake blutwurst smith demountable nrc oval dibble pyracanth lucrative demagogue pica mulligan veil afresh bootleg ditch cia coastal remington do excess hypothesis giacomo construct tapa crush apache adolphus gambit generic edinburgh tamp argonaut concrete collar gig claudio he votive parch harrow becky sagebrush jitterbugger sanguineous skunk apocalypse carrot hoe homomorphic decertify musty camellia cologne",scam,safe,0.65
"Subject: hii . . !
now online with profiles close to 1 million and counting . follow the url by clicking on it and start enjoying today !
in your area now , woman - house wives ! , looking to cheat
http : / / backplane . fbbg . info /
murder off
http : / / beggar . fbbg . info / 1
",scam,safe,0.57
"Subject: my paln is killing me
los angeles l . a . observer - notes pertaining health
c . e , l - e . b _ r - e . x 2 oo m . gg
30 pllis 145 . oo
6 o piils 299 . 95
90 pills 459 . oo
get | t wh ! le it lasts : http : / / edible . extensiblearesol . com
same day sh ! pp ! ng
n - e _ v - e - r a - g . a . i , n : http : / / lim . extensiblearesol . com / please
yours ,
cara vance
solicitor
medzilla inc , marysville 98270 , united states of america
phone : 797 - 348 - 4116
mobile : 616 - 917 - 2145
email : klxeqr @ prime . com
this is an auto - generated message - please do not reply to this message
this version is a 51 hour trial freeware
notes :
the contents of this connection is for manipulation and should not be fallible catalytic
excursion consistent polity
time : wed , 09 feb 2005 12 : 16 : 22 + 0200
",scam,safe,0.77
"Subject: re : enron / hpl actuals for august 11 - 13 , 2000
oops , you are right . sorry .",safe,safe,0.92
"Subject: updates for april
here is the updated version",safe,safe,0.71
"Subject: deal numbers
hi darrin ,
rita has asked me to provide her with all the "" deal numbers "" associated for
the cornhusker ( tenaska iv texas partners ) deal . when you get a chance ,
would you please send me those deal numbers .
even though i can print reports such as the "" deal volume tracking report "" to
retrieve some of the deal numbers , rita was concerned that there might be
other deals set - up in unify , which we don ' t know about .
thank you ,
kathy : )",safe,safe,0.83
"Subject: re : indian springs
mary :
deal # 487040 has been setup with demand charge equally to the amounts that
teco paid hpl at indian spring for the following months :
august & september 1999
february , march , & april 2000
if you have any questions , let me know .
thanks , clem
mary poorman @ enron
11 / 14 / 2000 08 : 54 am
to : clem cernosek / hou / ect @ ect , daren j farmer / hou / ect @ ect
cc : sherlyn schumack / hou / ect @ ect , katherine herrera / corp / enron @ enron , lauri a
allen / hou / ect @ ect
subject : indian springs
i need hpl sales and purchases , back dated to 8 / 99 between hpl and teco to
book any processing revenue or losses . apparently this is in addition to the
current deal in place and is priced at at different rate . please let me know
when these tickets are in place so that i can get track id ' s and finalize
this issue .
thank you ,
mary",safe,safe,0.92
"Subject: enw promotion announcement
we are pleased to announce the following promotions within enron net works . these promotions will be effective august 1 , 2001 . we would like to thank these individuals for their past contributions and recognize their instrumental roles in the growth and success of the organization . please join us in congratulating the following employees and wishing them continued success with enron .
accounting
to senior director
roper , kerwin
to director
galvan , michael
to senior specialist
armstrong , kristin
commodity logic
to senior director
harrison , susan
to director
slagle , carrie
global risk management operations
to senior director to specialist
earnest , scott brady , kevin
hall , d . todd logan iii , jackson
dewett , laura
to director hoang , charlie
bruce , michelle harrell , willie
fondren , mark
stubbs , shelly to staff
rodriguez , melissa
to manager
bhatti , rashpal to administrative coordinator
love , phillip villanueva , chantelle
oliver , david
rae , david to administrative assistant ii
valdes , john saldana , america
walker , lisa upchurch , arlene
to senior specialist to senior clerk
christiansen , suzanne white , stuart
dempsey , dalton
hollander , corey
myers , donnie
pallant , kathryn
schumack , sherlyn
shore , geraldine
wallumrod , ellen
enrononline - origination
to associate
rostant , justin
technology
houston - based employees
to senior director to senior specialist
behney , christopher allen , diana
bucknell , martin atta , asem
dopson , lametrice black , gregory
guadarrama , michael clark , cynthia
gubser , marlin fuller , william
hillier , bob hardy , chryst
montagne , kevin humlicek , robert
nat , steve invedy , tantra
rao , ramesh james , matthew
wei , zhiyong jameson , lance
ly , danny
to director macphail , shawn
bowling , william mansfield , carey
cox , susan ( paige ) mei , xiaojun
luu , duong mu , qi
muschar , daniel
to manager perret , jonathan
alatorre , carlos rasmussen , michael
andrews , stephen tiner , brent
elliott , clayton yang , zhiyun
reid , martin
steward , larry to specialist
valor , hildemaro ( tino ) gallegos , edgar
guerrero , sam
manguba , jimmy
schlein , guy
wu , betty
to administrative coordinator
weatherstone , mary
london - based employees
to senior director to junior professional
hudson , brian cooper , russell
lang , douglas
to senior support larsson , johan
bowie , keith li , yi jone
messenger , jon mclean , gordon
scott , denver maffia , mark
mellitas , james
to junior support oxley , peter
ahmed , sohail petri , ingrid
de - coi , david van rijn , jasper
lee , calvin wadey , joanne
mitchell , dominic
morris , dan to entry professional
rear , timothy alistair , reeve
malik , ednan
to senior professional
ashton , david to senior clerk
benjamin , phil ali , mosafemed
evans , christopher cresswell , james
howell , lee stevenson , scott
hunter , julia
khan , golam
nicola , trill
stephens , scott
steven , thomas
tsang , david
walker , neill
wilson , melinda",safe,safe,0.74
"Subject: nom change for gas day 22
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 06 / 21 / 2000
11 : 20 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
royal _ b _ edmondson @ reliantenergy . com on 06 / 21 / 2000 09 : 49 : 46 am
to : ami _ chokshi @ enron . com
cc :
subject : nom change for gas day 22
lowering our midcon by 15 , 000
( see attached file : hpl - june . xls )
- hpl - june . xls",safe,safe,0.96
"Subject: and clement xtv and
sorry for taking so long . i finally found that site you were
asking me about . remember , the one that i used to
get a great
r \ ate on my homel o
an ? i was just looking around the other day
and they offerr a
te s at only 3 . 5 % . i am sure they can help you out .
this link
please let me know how it goes .
talk to you soon ,
grady z . dutton
a any oaxon was bigelow not expository zuyjzb
not of itson for bfuysuaxy
vaughn - bhomologue an we goodwill of or an aetjs
us our shard was neat or cprreyngf
to extricable the at so evzhiyajl
poliomyelitis we inter from heed loneyy
",scam,safe,0.82
"Subject: meter 1431 - nov 1999
aimee ,
sitara deal 92943 for meter 1431 has expired on oct 31 , 1999 . settlements
is unable to draft an invoice for this deal . this deal either needs to be
extended or a new deal needs to be set up . please let me know when this is
resolved . we need it resolved by friday , dec 17 .
hc",safe,safe,0.91
"Subject: re : june tenaska gas file
daren :
please enter the demand fee on deal 384258 for tenaska iv for june 2001 . it should be $ 3 , 938 , 205 . 00 . also , please extend deal 514353 or set up a new deal for the agency fee for june . deal 514353 ended with may prod .
thanks ,
megan
- - - - - - - - - - - - - - - - - - - - - - forwarded by megan parker / corp / enron on 07 / 05 / 2001 02 : 21 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : michael olsen / enron @ enronxgate on 07 / 05 / 2001 12 : 49 pm
to : megan parker / corp / enron @ enron
cc :
subject : re : june tenaska gas file
here you go . let me know if everything looks good .
mike
- - - - - original message - - - - -
from : parker , megan
sent : thursday , july 05 , 2001 12 : 48 pm
to : olsen , michael
subject : june tenaska gas file
can you email the tenaska file for june ? i need to bill them .
- - - - - - - - - - - - - - - - - - - - - - forwarded by megan parker / corp / enron on 07 / 05 / 2001 12 : 44 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : megan parker 07 / 02 / 2001 02 : 17 pm
to : michael olsen / na / enron
cc :
subject : june tenaska gas file
can you send james armstrong and me the tenaska file for june ?
thanks ,
megan
- - - - - - - - - - - - - - - - - - - - - - forwarded by megan parker / corp / enron on 07 / 02 / 2001 02 : 14 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : james armstrong / enron @ enronxgate on 07 / 02 / 2001 10 : 56 am
to : mark mccoy / corp / enron @ enron
cc : megan parker / corp / enron @ enron
subject : june tenaska gas file
mark , it looks like mike olsen is no longer here at enron . do you know who handles the tenaska fuel management file now ? you can call me at 713 - 853 - 7280 . thanks .
james
",safe,safe,0.97
"Subject: copano changes
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 10 / 06 / 2000
10 : 37 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
troy _ a _ benoit @ reliantenergy . com on 10 / 06 / 2000 10 : 23 : 31 am
to : "" ami chokshi ""
cc :
subject : copano changes
( see attached file : hpl - oct . xls )
- hpl - oct . xls",safe,safe,0.97
"Subject: hpl nom for july 29 , 2000
( see attached file : hplo 729 . xls )
- hplo 729 . xls",safe,safe,0.94
